aphia_id,scientific_name,weight,rank
126484,Merluccius merluccius,14,Species
22832,Anisakis,11.0,Genus
125762,Merluccius,11.0,Genus
22831,Anisakinae,8.2,Subfamily
154235,Merlucciinae,8.2,Subfamily
22816,Ascaridoidea,8.0,Superfamily
19961,Anisakidae,8.0,Family
125473,Merlucciidae,8.0,Family
834807,Ascaridomorpha,6.3,Infraorder
22833,Spirurina,6.2,Suborder
2143,Rhabditida,6.0,Order
10313,Gadiformes,6.0,Order
2134,Chromadoria,4.2,Subclass
293496,Teleostei,4.2,Subclass
731848,Chromadorea,4.0,Class
10194,Actinopterygii,4.0,Gigaclass
843664,Actinopteri,4.0,Class
152352,Osteichthyes,2.4,Parvphylum
1828,Gnathostomata,2.3,Infraphylum
146419,Vertebrata,2.2,Subphylum
2,Animalia,2.0,Kingdom
799,Nematoda,2.0,Phylum
1821,Chordata,2.0,Phylum
1,Biota,0.0,Superdomain
